"name","values","values-ko"
"app_name","Violy","Violy"
"app_name_show","Violy","Violy"
"all_banner","ViolyPractice makes PERFECT!!!","Violy 더 완벽하게 연주하라."
"all_banner1","A Music Practice Partner","바이올린 연습 파트너."
"all_network_error","The current network is not available, please check your network settings.","인터넷 연결되지 않습니다.네트워크 체크하세요."
"all_some_error","Error occurred.","오류를 발생했습니다."
"all_api_default_error","Error occurred.","오류를 발생했습니다."
"all_api_retry_error","Error occurred. Please try later","오류를 발생했습니다.잠시후 다시 시도하세요."
"all_back","Back","뒤로 가기"
"all_hint","Tips","힌트"
"all_confirm","OK","확인"
"all_cancel","Cancel","취소"
"all_delete","Delete","삭제"
"all_manage","Manage","관리"
"all_finish","Done","완료"
"all_star","Star","즐겨찾기"
"all_edit","Edit","편집"
"all_star_success","Starred.","즐겨찾기 성공"
"all_unstar_success","Unstarred.","즐겨찾기 취소"
"all_see_all","View all","전체보기"
"all_quit_app","Click again to exit the App","한번 더 누르시면 앱을 탈퇴할겁니다."
"all_download_success","Download Complete!","다운로드 성공"
"all_download_failed","Download Failed","다운로드 실패"
"all_Submitted_successfully","Submission Successful!!","제출 성공"
"permission_external_storage_request","
This App needs to access the storage to save the practice audio files and recordings to detect the practice. 
Disable these permissions will affect the normal use of some functions, please enable these permissions ^~^. ","본 앱은 연습 오디오와 녹음을 저장하는 것으로 바이올린소리를 분석하는데 접근권한을 허용해야됩니다.이러한 권한을 거부하면 일부 기능의 정상적인 사용에 영향을 줄 수 있으니까 관련된 권한을 허용하세요."
"disk_no_space","The current storage space is insufficient! This may result in the practice results not being saved! 
Please delete the extra files on your phone!","현재 저장 공간이 부족합니다.연습 결과를 저장하지 못할 수 있습니다.핸드폰에 있는 여분의 파일을 삭제하세요.십시오!"
"all_token_expired","Login expired. Please login again.","로그인 만료됨.다시 로그인하세요."
"all_kicked","The account has been forced offline, you can try to log in again.","이 계정이 로그아웃되었습니다.다시 로그인하세요."
"all_str_format_illegal","The content should not contain special characters: %s","특수 문자：%s 입력하면 안됩니다."
"all_update_a4","Standard pitch (the frequency of A4) is changed to %d Hz","표준 피치(A4 주파) %d로 조절되었습니다"
"all_global_setting","Settings","설정"
"all_global_setting_desc","Display settings will be affected on all sheet pages.","전체설정은 모두 악보상태에 바꿀 수 있습니다."
"all_full_screen","Switch Landscape","가로 표시"
"all_input","Enter your content.","정보 입력"
"all_refresh","Refresh","업데이트"
"version_upgrade","Update","업데이트"
"version_cancel","Cancel","취소"
"all_feedback","Feedback","오류 신고"
"all_practice_deleted","The practice had been deleted.","이 연습이 이미 삭제되었습니다."
"main_toolbar_practice","Sheet Music","연습 악보"
"main_toolbar_records","My Practices","내 연습"
"main_toolbar_records_stared","Starred Practices","별표시를 했습니다"
"main_toolbar_me","Me","나"
"main_navigation_practice","Violy","Violy"
"main_navigation_records","History","연습 기록 "
"main_navigation_together","Together","같이"
"main_navigation_me","Me","나"
"albums_title","My Albums","내 앨범"
"albums_delete_title","Delete the album now?","앨범 삭제하시나요? "
"albums_delete_msg","Album %s will be deleted.""","앨범 %s 삭제될겁니다."
"albums_add","Add New Album","새 앨범 추가"
"albums_detail_publish_date","Publication Date：%s","출판 날짜：%s"
"albums_detail_editor","Editor：%s","작가：%s"
"albums_detail_publisher","Publisher：%s","출판사 시간：%s"
"albums_detail_sheet_list_count","Contents (%d in total)","악보 내용"
"practice_help","Help","이용 시범"
"practice_help_demo","Product Video","동영상 소계"
"practice_help_instruction","Tutorials","안내"
"practice_used_sheets","Recents","취근 이용하는 악보"
"practice_my_lineup","My Collections","내 컬렉션"
"practice_collect_albums","My Albums","내 앨범"
"practice_online_albums","Music Cloud","Music Cloud"
"practice_detail_evaluation_mode_title","Audition","오디션"
"practice_detail_follow_mode_title","Note-by-note","Note-by-note"
